question,issue,reverse,anes_issue
Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,abany,0,abort_always
Do you think it should be possible for a pregnant woman to obtain a legal abortion if there is a strong chance of serious defect in the baby?,abdefect,0,abort_need
Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman's own health is seriously endangered by the pregnancy?,abhlth,0,abort_rape
Do you think it should be possible for a pregnant woman to obtain a legal abortion if she is married and does not want any more children?,abnomore,0,abort_always
Do you think it should be possible for a pregnant woman to obtain a legal abortion if the family has a very low income and cannot afford any more children?,abpoor,0,abort_need
Do you think it should be possible for a pregnant woman to obtain a legal abortion if she became pregnant as a result of rape?,abrape,0,abort_rape
Do you think it should be possible for a pregnant woman to obtain a legal abortion if she is not married and does not want to marry the man?,absingle,0,abort_always
In general: do you favor the busing of African-American and white school children from one school district to another?,busing,0,black_samesch
Do you favor the death penalty for persons convicted of murder?,cappun,0,cappun_murder
There are always some people whose ideas are considered bad or dangerous by other people. For instance: somebody who is against all churches and religion -- should such a person be allowed to teach in a college or university?,colath,NA,NA
Consider a man who admits he is a Communist. Suppose he is teaching in a college. Should he be fired?,colcom,NA,NA
Consider a man who admits that he is a homosexual. Should such a person be allowed to teach in a college or university?,colhomo,NA,NA
Consider a person who advocates doing away with elections and letting the military run the country. Should such a person be allowed to teach in a college or university?,colmil,NA,NA
Consider a person who believes that Blacks are genetically inferior. Should such a person be allowed to teach in a college or university?,colrac,NA,NA
It is much better for everyone involved if the man is the achiever outside the home and the woman takes care of the home and family.,fefam,1,women_equal
It is more important for a wife to help her husband's career than to have one herself.,fehelp,1,women_equal
Because of past discrimination employers should make special efforts to hire and promote qualified women.,fehire,NA,NA
Women should take care of running their homes and leave running the country up to men.,fehome,1,women_equal
Some people say that because of past discrimination women should be given preference in hiring and promotion. Others say that such preference in hiring and promotion of women is wrong because it discriminates against men. What about your opinion - are you for preferential hiring and promotion of women?,fejobaff,NA,NA
Do you approve of a married woman earning money in business or industry if she has a husband capable of supporting her?,fework,0,women_equal
Do you think the use of marijuana should be made legal?,grass,NA,NA
Would you favor a law which would require a person to obtain a police permit before he or she could buy a gun?,gunlaw,0,governs_guns
Some people think that African-Americans have been discriminated against for so long that the government has a special obligation to help improve their living standards. Others believe that the government should not be giving special treatment to African-Americans. Do you think that the government should help improve the living standards of African-Americans?,helpblk,0,black_socec
Some people think that the government in Washington should do everything possible to improve the standard of living of all poor Americans. Other people think it is not the government's responsibility and that each person should take care of himself. Do you think that the government should do everything possible to improve the standard of living of all poor Americans?,helppoor,NA,NA
In general some people think that it is the responsibility of the government in Washington to see to it that people have help in paying for doctors and hospital bills. Others think that these matters are not the responsibility of the federal government and that people should take care of these things themselves. Do you think that it is the responsibility of the government?,helpsick,NA,NA
Are there any situations that you can imagine in which you would approve of a man punching an adult male stranger?,hitok,NA,NA
Would you approve of a man punching a stranger who was drunk and bumped into the man and his wife on the street?,hitdrunk,NA,NA
Would you approve of a man punching a stranger who was beating up a woman and the man saw it?,hitbeatr,NA,NA
Would you approve of a man punching a stranger who had hit the man's child after the child accidentally damaged the stranger's car?,hitchild,NA,NA
Would you approve of a man punching a stranger who was in a protest march showing opposition to the other man's views?,hitmarch,NA,NA
Would you approve of a man punching a stranger who had broken into the man's house?,hitrobbr,NA,NA
What about sexual relations between two adults of the same sex--do you think it is always wrong?,homosex,NA,NA
When a person has a disease that cannot be cured -- do you think doctors should be allowed by law to end the patient's life by some painless means if the patient and his family request it?,letdie1,NA,NA
